"a"	"b"	"sig"
0.0848783778625491	0.681750692915728	0.0518689170783029
0.0817605730629449	0.702576302089774	0.0520881334576686
0.0725045864409071	0.712108557953914	0.0552242620017575
0.0845929702872883	0.680030263065784	0.0510747599870069
0.102258088632488	0.656985845200225	0.060379491372459
0.0789562754904965	0.702731815805614	0.0595455447157957
0.0712010385807843	0.717974872246648	0.0563656423598146
0.0929606795864558	0.672437277577565	0.0596802503881714
0.084482958902619	0.687783078945767	0.0518899597830284
0.0807410157496335	0.683392263847842	0.0550919028440985
0.094779359030478	0.715567096985905	0.0547490829155462
0.0848636867407888	0.68063310399669	0.0499984946138925
0.0784010471613846	0.699099163635167	0.0592812285051894
0.0818940986791653	0.699861833929588	0.0618369828688202
0.0800082693046026	0.707401332077162	0.0548770386069901
0.0658254749662017	0.686556917799173	0.0615031743888171
0.0849577072320855	0.716816932568956	0.0553300032235402
0.0815653884656628	0.679510938153016	0.0548428891174183
0.0771571597920766	0.699285349455499	0.0606148978719591
0.0917522042305883	0.710459297885887	0.0640377327648084
0.0762487080658314	0.716410081313336	0.0548114504669205
0.0788266933139061	0.710753041020977	0.0495200076405474
0.0936129916461109	0.694849563952407	0.0537535014495982
0.0975334215501139	0.684137347658437	0.0575005654289729
0.0737381466233091	0.728951791077634	0.0576861236927177
0.0906215496799149	0.713511026406459	0.0458584711372871
0.0744552005317269	0.748212986313403	0.0650778162436093
0.0917970245319751	0.667104375528635	0.058707514003101
0.0824923827510734	0.728955611099068	0.0510619521544043
0.0775689383681	0.742368343775943	0.0557555057099318
0.0854632641550038	0.66060152917643	0.0487994618499458
0.0782708174799955	0.692668862753185	0.0502093863998503
0.0869287287134817	0.689685570690089	0.0454508089402332
0.0843937947771449	0.687165778006888	0.0518199253247175
0.0714719186393822	0.743279215756649	0.0677016548470622
0.0915252643999093	0.647187948030602	0.0643342284983142
0.082530351457459	0.736301398944297	0.0568577400132814
0.0819022486167357	0.71702520668993	0.0542767339261996
0.0873321801248454	0.680031681463138	0.0478683559472327
0.0907019198005025	0.690301642278577	0.0595013439748796
0.0752334040254105	0.758474692219037	0.0588743123970067
0.0861747681584166	0.682834489998141	0.063408094413392
0.0885819629904074	0.681335275852991	0.0527640194957094
0.0987650191431984	0.673620649777319	0.060794856428582
0.0940689333436033	0.676971899886603	0.0492420057346098
0.0865891789801467	0.664550497392796	0.0595234855434307
0.0767046007245425	0.736103601307612	0.0543332217485342
0.0799840733644679	0.722478935307877	0.0553085773413626
0.0852037537993144	0.712009112039849	0.0595505750111676
0.0741934961386961	0.710923158742139	0.0479198485547467
0.0924992860586815	0.688662574536483	0.0543798755621951
0.0973960033984098	0.587370120580756	0.0673593939231277
0.0770445298328907	0.7445635269497	0.0531397536739703
0.0956670047218787	0.747376944333121	0.0616534115500686
0.0805532897840045	0.695369599484305	0.0591870685323292
0.0876798630027061	0.691899933579572	0.0499241334395285
0.0815294363258206	0.723912984119359	0.0474102491540541
0.0928650543802075	0.670606253273442	0.0613233662651521
0.0921132164642056	0.655938841847213	0.054044252517581
0.0924429162711718	0.733588747984556	0.0561474656783755
0.0751291512490655	0.713401807228896	0.0470824824208367
0.086823522335988	0.688058288763397	0.0520594690462333
